EGF	fcm	fce	omega_main	omega_egf	fcmerror	residual	nvalue	gamma	WaveType
201307112058	2.20	4.10	5.12	0.87	1.440	0.173	2.40	2.00	S
201307112058	2.20	4.00	5.02	0.91	1.780	0.167	2.30	2.00	S
