Station	EVID	fcm	fcmerror	nvalue	gamma	QValue	omegaCorMain	omegaErrMain	WaveType
A16	201307112016	3.20	0.92	1.80	0.99	1500.00	2.6091e+03	0.920	S
A21	201307112016	5.00	0.69	2.40	1.69	1500.00	6.4668e+03	0.690	S
A61	201307112016	16.20	0.35	3.00	2.00	536.90	5.4711e+03	0.350	S
A64	201307112016	6.30	0.57	2.20	2.00	1500.00	8.7836e+03	0.570	S
A16	201307112016	3.20	0.89	1.80	0.99	1500.00	2.6076e+03	0.890	S
A21	201307112016	4.90	0.81	2.40	1.69	1500.00	6.4933e+03	0.810	S
A61	201307112016	16.20	0.39	3.00	2.00	533.10	5.4822e+03	0.390	S
A64	201307112016	6.30	0.66	2.20	2.00	1500.00	8.7889e+03	0.660	S
