# Snuffler Markers File Version 0.2
phase: 2017-08-27 23:11:39.588  0 XL.MG08..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:40.869  0 XL.MG05..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:40.977  0 XL.MG09..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:41.329  0 XL.MG07..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:41.887  0 CN.NBC7..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:42.043  0 CN.NBC4..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:42.080  0 XL.MG03..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:42.126  0 XL.MG02..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 P        None False
phase: 2017-08-27 23:11:42.494  0 XL.MG08..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:44.959  0 XL.MG05..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:45.017  0 XL.MG09..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:45.487  0 XL.MG07..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:46.622  0 CN.NBC7..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
phase: 2017-08-27 23:11:46.779  0 CN.NBC4..HHZ    Nr4v8qecQJSGoaVtvR4o3nGXHw0= 2017-08-27   23:11:36.030 S        None False
event: 2017-08-30 23:03:27.950  0 Dyt8kBDIeoxwA4LhdeMwXPOdqP4=      55.9058    -120.3637       2100.0  2.7 None  20170830230327 None
phase: 2017-08-30 23:03:28.851  0 XL.MG05..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:28.947  0 XL.MG03..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:29.769  0 XL.MG05..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:29.981  0 XL.MG03..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:30.494  0 XL.MG07..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:31.280  0 XL.MG02..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:32.265  0 XL.MG01..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:32.629  0 XL.MG07..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:33.381  0 CN.NBC4..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:33.665  0 XL.MG09..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:33.729  0 XL.MG08..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 P        None False
phase: 2017-08-30 23:03:34.132  0 XL.MG02..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:35.797  0 XL.MG01..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:37.609  0 CN.NBC4..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:37.939  0 XL.MG09..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:38.214  0 XL.MG08..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
phase: 2017-08-30 23:03:43.401  0 CN.NBC7..HHZ    Dyt8kBDIeoxwA4LhdeMwXPOdqP4= 2017-08-30   23:03:27.950 S        None False
event: 2017-09-01 02:34:58.620  0 B5P0fvunbirTvd8pam50FLmHxY4=       55.904     -120.375       1150.0  2.3 None  20170901023558 None
phase: 2017-09-01 02:34:59.486  0 XL.MG03..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:34:59.636  0 XL.MG05..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:00.416  0 XL.MG03..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:00.651  0 XL.MG05..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:01.149  0 XL.MG07..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:02.076  0 XL.MG02..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:02.783  0 XL.MG01..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:03.300  0 XL.MG07..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:03.975  0 CN.NBC4..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:04.258  0 XL.MG09..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:04.267  0 XL.MG08..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:04.875  0 XL.MG02..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:06.345  0 XL.MG01..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:07.319  0 CN.NBC7..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 P        None False
phase: 2017-09-01 02:35:08.079  0 CN.NBC4..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:08.311  0 XL.MG09..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:08.696  0 XL.MG08..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
phase: 2017-09-01 02:35:13.913  0 CN.NBC7..HHZ    B5P0fvunbirTvd8pam50FLmHxY4= 2017-09-01   02:34:58.620 S        None False
event: 2017-10-17 23:11:58.010  0 0Ea7o9QD1Xk5K7Apir3GAT18mR0=       55.926    -120.4895       1670.0  1.9 None  20171017231158 None
phase: 2017-10-17 23:11:58.742  0 XL.MG03..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:11:59.667  0 XL.MG03..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:00.296  0 XL.MG05..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:01.177  0 XL.MG07..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:02.541  0 XL.MG08..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:02.721  0 XL.MG02..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:02.812  0 XL.MG09..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:02.890  0 XL.MG05..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:03.031  0 CN.NBC4..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 P        None False
phase: 2017-10-17 23:12:03.331  0 XL.MG01..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:03.641  0 XL.MG07..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:06.007  0 XL.MG08..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:06.574  0 XL.MG02..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:06.600  0 XL.MG09..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
phase: 2017-10-17 23:12:07.025  0 CN.NBC4..HHZ    0Ea7o9QD1Xk5K7Apir3GAT18mR0= 2017-10-17   23:11:58.010 S        None False
event: 2017-12-28 10:11:41.000  0 6iwMAKiPLH42mSh7evOG_UXwPnQ=       55.991     -120.664      10000.0  2.2 None  20171228101141 None
phase: 2017-12-28 10:11:43.592  0 XL.MG03..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:44.105  0 XL.MG08..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:44.368  0 XL.MG04..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:45.175  0 XL.MG05..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:45.432  0 XL.MG09..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:45.664  0 XL.MG07..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:46.352  0 XL.MG03..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
phase: 2017-12-28 10:11:46.390  0 CN.NBC7..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:46.465  0 CN.NBC4..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:47.047  0 XL.MG08..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
phase: 2017-12-28 10:11:47.536  0 XL.MG02..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 P        None False
phase: 2017-12-28 10:11:47.655  0 XL.MG04..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
phase: 2017-12-28 10:11:49.107  0 XL.MG05..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
phase: 2017-12-28 10:11:49.576  0 XL.MG09..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
phase: 2017-12-28 10:11:49.764  0 XL.MG07..HHZ    6iwMAKiPLH42mSh7evOG_UXwPnQ= 2017-12-28   10:11:41.000 S        None False
