time = 2018-05-14 02:07:25.063
latitude = 56.0413
longitude = -120.6764
magnitude = 1.53
moment = 2.21309e+11
depth = 1430
--------------------------------------------
name = 20180516082716
time = 2018-05-16 08:27:16.761
latitude = 56.0408
longitude = -120.6792
magnitude = 1.73
moment = 4.4157e+11
depth = 1140
--------------------------------------------
name = 20180510101059
time = 2018-05-10 10:10:59.620
latitude = 56.0408
longitude = -120.6943
magnitude = 1.27
moment = 9.01571e+10
depth = 1140
--------------------------------------------
name = 20180518031941
time = 2018-05-18 03:19:41.348
latitude = 56.0408
longitude = -120.6641
magnitude = 1.06
moment = 4.36516e+10
depth = 1140
--------------------------------------------
name = 20180510091211
time = 2018-05-10 09:12:11.126
latitude = 56.0408
longitude = -120.6868
magnitude = 1.12
moment = 5.37032e+10
depth = 1140
--------------------------------------------
name = 20180510065241
time = 2018-05-10 06:52:41.901
latitude = 56.0408
longitude = -120.6868
magnitude = 1.39
moment = 1.36458e+11
depth = 1140
--------------------------------------------
name = 20180521052812
time = 2018-05-21 05:28:12.625
latitude = 56.0408
longitude = -120.6792
magnitude = 1.39
moment = 1.36458e+11
depth = 1140
--------------------------------------------
name = 20180522154857
time = 2018-05-22 15:48:57.320
latitude = 56.0408
longitude = -120.6943
magnitude = 1.78
moment = 5.24807e+11
depth = 1140
--------------------------------------------
name = 20180520110403
time = 2018-05-20 11:04:03.464
latitude = 56.0408
longitude = -120.6792
magnitude = 1.45
moment = 1.6788e+11
depth = 1140
--------------------------------------------
name = 20180525080603
time = 2018-05-25 08:06:03.630
latitude = 56.0408
longitude = -120.7094
magnitude = 1.01
moment = 3.67282e+10
depth = 1140
--------------------------------------------
name = 20180525034848
time = 2018-05-25 03:48:48.744
latitude = 56.0408
longitude = -120.7094
magnitude = 1.66
moment = 3.46737e+11
depth = 1140
--------------------------------------------
name = 20180521073707
time = 2018-05-21 07:37:07.895
latitude = 56.0408
longitude = -120.6868
magnitude = 1.41
moment = 1.46218e+11
depth = 1140
--------------------------------------------
name = 20180521063943
time = 2018-05-21 06:39:43.385
latitude = 56.0408
longitude = -120.6868
magnitude = 1.39
moment = 1.36458e+11
depth = 1140
--------------------------------------------
name = 20180523223423
time = 2018-05-23 22:34:23.333
latitude = 56.0408
longitude = -120.7019
magnitude = 1.21
moment = 7.32825e+10
depth = 1140
--------------------------------------------
name = 20180510121600
time = 2018-05-10 12:16:00.897
latitude = 56.0402
longitude = -120.6764
magnitude = 1.62
moment = 3.01995e+11
depth = 1430
--------------------------------------------
name = 20180518011232
time = 2018-05-18 01:12:32.850
latitude = 56.0402
longitude = -120.6971
magnitude = 1.48
moment = 1.86209e+11
depth = 1430
--------------------------------------------
name = 20180518062332
time = 2018-05-18 06:23:32.230
latitude = 56.0392
longitude = -120.6839
magnitude = 1.32
moment = 1.07152e+11
depth = 1430
--------------------------------------------
name = 20180523013104
time = 2018-05-23 01:31:04.277
latitude = 56.0392
longitude = -120.6801
magnitude = 2.08
moment = 1.47911e+12
depth = 2000
--------------------------------------------
name = 20180509121605
time = 2018-05-09 12:16:05.545
latitude = 56.0392
longitude = -120.5499
magnitude = 2.04
moment = 1.28825e+12
depth = 2000
--------------------------------------------
name = 20180509133701
time = 2018-05-09 13:37:01.458
latitude = 56.0392
longitude = -120.5499
magnitude = 2.38
moment = 4.16869e+12
depth = 2000
--------------------------------------------
name = 20180526034938
time = 2018-05-26 03:49:38.959
latitude = 56.0381
longitude = -120.6782
magnitude = 1.71
moment = 4.12098e+11
depth = 1430
--------------------------------------------
name = 20180509114109
time = 2018-05-09 11:41:09.902
latitude = 56.0381
longitude = -120.5555
magnitude = 1.86
moment = 6.91831e+11
depth = 2000
--------------------------------------------
name = 20180509112910
time = 2018-05-09 11:29:10.516
latitude = 56.0381
longitude = -120.5555
magnitude = 1.71
moment = 4.12098e+11
depth = 2000
--------------------------------------------
name = 20180531054910
time = 2018-05-31 05:49:10.109
latitude = 56.0381
longitude = -120.6839
magnitude = 1.39
moment = 1.36458e+11
depth = 1430
--------------------------------------------
name = 20180504082359
time = 2018-05-04 08:23:59.736
latitude = 56.0381
longitude = -120.5687
magnitude = 1.89
moment = 7.67361e+11
depth = 2000
--------------------------------------------
name = 20180509121746
time = 2018-05-09 12:17:46.759
latitude = 56.0376
longitude = -120.564
magnitude = 1.51
moment = 2.06538e+11
depth = 2860
--------------------------------------------
name = 20180523033816
time = 2018-05-23 03:38:16.975
latitude = 56.0376
longitude = -120.6849
magnitude = 2.28
moment = 2.95121e+12
depth = 2860
--------------------------------------------
name = 20180505213236
time = 2018-05-05 21:32:36.383
latitude = 56.0376
longitude = -120.598
magnitude = 1.64
moment = 3.23594e+11
depth = 6300
--------------------------------------------
name = 20180525194056
time = 2018-05-25 19:40:56.863
latitude = 56.0376
longitude = -120.7188
magnitude = 1.59
moment = 2.7227e+11
depth = 570
--------------------------------------------
name = 20180505143903
time = 2018-05-05 14:39:03.915
latitude = 56.0371
longitude = -120.5763
magnitude = 2.84
moment = 2.04174e+13
depth = 2000
--------------------------------------------
name = 20180507055730
time = 2018-05-07 05:57:30.294
latitude = 56.0371
longitude = -120.5763
magnitude = 2.18
moment = 2.0893e+12
depth = 2000
--------------------------------------------
name = 20180505191359
time = 2018-05-05 19:13:59.594
latitude = 56.0366
longitude = -120.5735
magnitude = 1.65
moment = 3.34965e+11
depth = 1140
--------------------------------------------
name = 20180505091210
time = 2018-05-05 09:12:10.373
latitude = 56.0366
longitude = -120.581
magnitude = 1.56
moment = 2.45471e+11
depth = 1140
--------------------------------------------
name = 20180523155138
time = 2018-05-23 15:51:38.824
latitude = 56.0366
longitude = -120.6943
magnitude = 2.09
moment = 1.53109e+12
depth = 1140
--------------------------------------------
name = 20180522110037
time = 2018-05-22 11:00:37.635
latitude = 56.0366
longitude = -120.6943
magnitude = 2
moment = 1.12202e+12
depth = 1140
--------------------------------------------
name = 20180518120041
time = 2018-05-18 12:00:41.666
latitude = 56.0366
longitude = -120.6792
magnitude = 1.27
moment = 9.01571e+10
depth = 1140
--------------------------------------------
name = 20180509150227
time = 2018-05-09 15:02:27.262
latitude = 56.036
longitude = -120.5593
magnitude = 2.14
moment = 1.8197e+12
depth = 2000
--------------------------------------------
name = 20180506060721
time = 2018-05-06 06:07:21.433
latitude = 56.036
longitude = -120.5782
magnitude = 1.51
moment = 2.06538e+11
depth = 1430
--------------------------------------------
name = 20180510034616
time = 2018-05-10 03:46:16.719
latitude = 56.036
longitude = -120.5517
magnitude = 1.89
moment = 7.67361e+11
depth = 2000
--------------------------------------------
name = 20180505071837
time = 2018-05-05 07:18:37.456
latitude = 56.035
longitude = -120.5668
magnitude = 1.83
moment = 6.23735e+11
depth = 2000
--------------------------------------------
name = 20180524100247
time = 2018-05-24 10:02:47.094
latitude = 56.035
longitude = -120.6122
magnitude = 1.11
moment = 5.188e+10
depth = 280
--------------------------------------------
name = 20180509043516
time = 2018-05-09 04:35:16.596
latitude = 56.035
longitude = -120.5593
magnitude = 1.62
moment = 3.01995e+11
depth = 2000
--------------------------------------------
name = 20180504214724
time = 2018-05-04 21:47:24.091
latitude = 56.0339
longitude = -120.5782
magnitude = 1.94
moment = 9.12011e+11
depth = 860
--------------------------------------------
name = 20180509003445
time = 2018-05-09 00:34:45.786
latitude = 56.0323
longitude = -120.5583
magnitude = 1.51
moment = 2.06538e+11
depth = 1140
--------------------------------------------
name = 20180506073027
time = 2018-05-06 07:30:27.832
latitude = 56.0323
longitude = -120.5734
magnitude = 1.32
moment = 1.07152e+11
depth = 1140
--------------------------------------------
name = 20180507071845
time = 2018-05-07 07:18:45.728
latitude = 56.0323
longitude = -120.5734
magnitude = 1.14
moment = 5.7544e+10
depth = 1140
--------------------------------------------
name = 20180506141214
time = 2018-05-06 14:12:14.123
latitude = 56.0323
longitude = -120.581
magnitude = 1.54
moment = 2.29087e+11
depth = 1140
--------------------------------------------
name = 20180506075036
time = 2018-05-06 07:50:36.530
latitude = 56.0323
longitude = -120.581
magnitude = 1.54
moment = 2.29087e+11
depth = 1140
--------------------------------------------
name = 20180520071658
time = 2018-05-20 07:16:58.856
latitude = 56.0323
longitude = -120.6792
magnitude = 1.28
moment = 9.33254e+10
depth = 1140
--------------------------------------------
name = 20180507024402
time = 2018-05-07 02:44:02.235
latitude = 56.0318
longitude = -120.5763
magnitude = 2.22
moment = 2.39883e+12
depth = 1430
--------------------------------------------
name = 20180509093959
time = 2018-05-09 09:39:59.351
latitude = 56.0315
longitude = -120.5456
magnitude = 2
moment = 1.12202e+12
depth = 2150
--------------------------------------------
name = 20180505113810
time = 2018-05-05 11:38:10.524
latitude = 56.0305
longitude = -120.5749
magnitude = 2.71
moment = 1.30317e+13
depth = 1000
--------------------------------------------
name = 20180519171204
time = 2018-05-19 17:12:04.162
latitude = 56.0297
longitude = -120.58
magnitude = 1.15
moment = 5.95662e+10
depth = 2000
--------------------------------------------
name = 20180508171819
time = 2018-05-08 17:18:19.041
latitude = 56.0286
longitude = -120.548
magnitude = 2.22
moment = 2.39883e+12
depth = 1430
--------------------------------------------
name = 20180506030751
time = 2018-05-06 03:07:51.004
latitude = 56.0279
longitude = -120.5711
magnitude = 2.46
moment = 5.49541e+12
depth = 1000
--------------------------------------------
name = 20180505174113
time = 2018-05-05 17:41:13.191
latitude = 56.0276
longitude = -120.5838
magnitude = 1.93
moment = 8.81049e+11
depth = 860
--------------------------------------------
name = 20180510035701
time = 2018-05-10 03:57:01.745
latitude = 56.0257
longitude = -120.5569
magnitude = 2.21
moment = 2.31739e+12
depth = 1000
--------------------------------------------
name = 20180501225937
time = 2018-05-01 22:59:37.026
latitude = 56.0234
longitude = -120.6914
magnitude = 2.12
moment = 1.69824e+12
depth = 2000
--------------------------------------------
name = 20180913104142
time = 2018-09-13 10:41:42.000
latitude = 55.983
longitude = -120.617
magnitude = 2.4
moment = 4.46684e+12
depth = 5500
--------------------------------------------
name = 20180312074304
time = 2018-03-14 07:43:04.000
latitude = 55.992
longitude = -120.685
magnitude = 2
moment = 1.12202e+12
depth = 10000
--------------------------------------------
name = 20180308230710
time = 2018-03-08 23:07:10.000
latitude = 56.004
longitude = -120.678
magnitude = 2.2
moment = 2.23872e+12
depth = 5400
--------------------------------------------
name = 20180307083657
time = 2018-03-07 08:36:57.000
latitude = 56.017
longitude = -120.649
magnitude = 2.3
moment = 3.16228e+12
depth = 1000
--------------------------------------------
name = 20171228101141
time = 2017-12-28 10:11:41.000
latitude = 55.991
longitude = -120.664
magnitude = 2.2
moment = 2.23872e+12
depth = 10000
--------------------------------------------
name = 20170711131459
time = 2017-07-11 13:14:59.000
latitude = 55.986
longitude = -120.598
magnitude = 2.1
moment = 1.58489e+12
depth = 10000
--------------------------------------------
name = 20170805185009
time = 2017-08-05 18:50:09.330
latitude = 56.1338
longitude = -121.1055
magnitude = 2
moment = 1.12202e+12
depth = 6440
--------------------------------------------
name = 20170809034725
time = 2017-08-09 03:47:25.020
latitude = 55.9838
longitude = -120.29
magnitude = 2.2
moment = 2.23872e+12
depth = 2620
--------------------------------------------
name = 20170827231136
time = 2017-08-27 23:11:36.030
latitude = 56.0003
longitude = -120.702
magnitude = 2.3
moment = 3.16228e+12
depth = 5940
--------------------------------------------
name = 20170830230327
time = 2017-08-30 23:03:27.950
latitude = 55.9058
longitude = -120.3637
magnitude = 2.7
moment = 1.25893e+13
depth = 2100
--------------------------------------------
name = 20170901023558
time = 2017-09-01 02:34:58.620
latitude = 55.904
longitude = -120.375
magnitude = 2.3
moment = 3.16228e+12
depth = 1150
--------------------------------------------
name = 20171017231158
time = 2017-10-17 23:11:58.010
latitude = 55.926
longitude = -120.4895
magnitude = 1.9
moment = 7.94328e+11
depth = 1670
--------------------------------------------
